License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
E  00002,Spain 🇪🇸,30.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=E++00002&sel_satname=E++00002&plan_id=plan
HISPASAT-2B 30KA,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2B+30KA&sel_satname=HISPASAT-2B+30KA&plan_id=
HISPASAT-20A,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-20A&sel_satname=HISPASAT-20A&plan_id=
HISPASAT-2AKA,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2AKA&sel_satname=HISPASAT-2AKA&plan_id=
HISPASAT-2D KU,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2D+KU&sel_satname=HISPASAT-2D+KU&plan_id=
HISPASAT-2A KU,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2A+KU&sel_satname=HISPASAT-2A+KU&plan_id=
HISPASAT-2B KU,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2B+KU&sel_satname=HISPASAT-2B+KU&plan_id=
USCSID-E4,United States 🇺🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-E4&sel_satname=USCSID-E4&plan_id=
HISPASAT-1C,Spain 🇪🇸,30.0°W,Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=HISPASAT-1C&sel_satname=HISPASAT-1C&plan_id=plan
SECOMSAT-5-30W,Spain 🇪🇸,30.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SECOMSAT-5-30W&sel_satname=SECOMSAT-5-30W&plan_id=
HISPASAT-1E-M,Spain 🇪🇸,30.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-1E-M&sel_satname=HISPASAT-1E-M&plan_id=plan
HISPASAT-93A,Spain 🇪🇸,30.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-93A&sel_satname=HISPASAT-93A&plan_id=plan
CNR00000,Spain 🇪🇸,30.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CNR00000&sel_satname=CNR00000&plan_id=plan
HISPASAT-1E,Spain 🇪🇸,30.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-1E&sel_satname=HISPASAT-1E&plan_id=plan
SECOMSAT-4-30W,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SECOMSAT-4-30W&sel_satname=SECOMSAT-4-30W&plan_id=
HISPASAT-2C3 KU,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-2C3+KU&sel_satname=HISPASAT-2C3+KU&plan_id=
HISPASAT-10A,Spain 🇪🇸,30.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=HISPASAT-10A&sel_satname=HISPASAT-10A&plan_id=
