License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
CAN-BSS7 TTC,Canada 🇨🇦,129.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CAN-BSS7+TTC&sel_satname=CAN-BSS7+TTC&plan_id=
GIBSAT-129W,United Kingdom 🇬🇧,129.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-129W&sel_satname=GIBSAT-129W&plan_id=
LUX-G9-38-A,Luxembourg 🇱🇺,129.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=LUX-G9-38-A&sel_satname=LUX-G9-38-A&plan_id=
GIBSAT-129W-B,United Kingdom 🇬🇧,129.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-129W-B&sel_satname=GIBSAT-129W-B&plan_id=
LUX-G9-38,Luxembourg 🇱🇺,129.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G9-38&sel_satname=LUX-G9-38&plan_id=
USASAT-24N,United States 🇺🇸,129.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24N&sel_satname=USASAT-24N&plan_id=
GIBSAT-FSS-G14 129W,United Kingdom 🇬🇧,129.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GIBSAT-FSS-G14+129W&sel_satname=GIBSAT-FSS-G14+129W&plan_id=plan
DSAT-W129,Germany 🇩🇪,129.0°W,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=DSAT-W129&sel_satname=DSAT-W129&plan_id=
USGCSS PH3B E PAC-2,United States 🇺🇸,130.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+E+PAC-2&sel_satname=USGCSS+PH3B+E+PAC-2&plan_id=
USGOVSAT-4A,United States 🇺🇸,130.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-4A&sel_satname=USGOVSAT-4A&plan_id=
GOES-2-130W,United States 🇺🇸,130.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GOES-2-130W&sel_satname=GOES-2-130W&plan_id=
USGCSS PH3 E PAC-2,United States 🇺🇸,130.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3+E+PAC-2&sel_satname=USGCSS+PH3+E+PAC-2&plan_id=
USGOVSAT-4B,United States 🇺🇸,130.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-4B&sel_satname=USGOVSAT-4B&plan_id=
