License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
USABSS-10,United States 🇺🇸,119.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USABSS-10&sel_satname=USABSS-10&plan_id=
ANIK E-D,Canada 🇨🇦,118.7°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ANIK+E-D&sel_satname=ANIK+E-D&plan_id=
CANSAT-18,Canada 🇨🇦,118.7°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CANSAT-18&sel_satname=CANSAT-18&plan_id=
CANSAT KA-5X,Canada 🇨🇦,118.7°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CANSAT+KA-5X&sel_satname=CANSAT+KA-5X&plan_id=
CANSAT KA-5,Canada 🇨🇦,118.7°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CANSAT+KA-5&sel_satname=CANSAT+KA-5&plan_id=
ANIK-F3R,Canada 🇨🇦,118.7°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ANIK-F3R&sel_satname=ANIK-F3R&plan_id=
KYPROS-119.5W,Cyprus 🇨🇾,119.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KYPROS-119.5W&sel_satname=KYPROS-119.5W&plan_id=
AL-SAT-FSS-119.9W,France 🇫🇷,119.9°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AL-SAT-FSS-119.9W&sel_satname=AL-SAT-FSS-119.9W&plan_id=plan
DIMENSION-9,United Kingdom 🇬🇧,120.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DIMENSION-9&sel_satname=DIMENSION-9&plan_id=plan
IDRSS-PFSS-240E,India 🇮🇳,120.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=IDRSS-PFSS-240E&sel_satname=IDRSS-PFSS-240E&plan_id=plan
DIMENSION-9,United Kingdom 🇬🇧,120.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=DIMENSION-9&sel_satname=DIMENSION-9&plan_id=
MILSTAR 6,United States 🇺🇸,120.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MILSTAR+6&sel_satname=MILSTAR+6&plan_id=
IDRSS-ISL-240E,India 🇮🇳,120.0°W,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=IDRSS-ISL-240E&sel_satname=IDRSS-ISL-240E&plan_id=
IDRSS-NPB-240E,India 🇮🇳,120.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IDRSS-NPB-240E&sel_satname=IDRSS-NPB-240E&plan_id=
USGAE-6M,United States 🇺🇸,120.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-6M&sel_satname=USGAE-6M&plan_id=
INTERSPUTNIK-118W-F,Russian Federation 🇷🇺,118.1°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INTERSPUTNIK-118W-F&sel_satname=INTERSPUTNIK-118W-F&plan_id=plan
