License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
TGO00000,Togo 🇹🇬,23.15°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TGO00000&sel_satname=TGO00000&plan_id=plan
AMS-A13-23W,Israel 🇮🇱,23.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=AMS-A13-23W&sel_satname=AMS-A13-23W&plan_id=
I  00000,Italy 🇮🇹,23.4°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=I++00000&sel_satname=I++00000&plan_id=plan
IRIS-3B,United States 🇺🇸,22.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IRIS-3B&sel_satname=IRIS-3B&plan_id=
KASATCOM-2,United States 🇺🇸,22.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KASATCOM-2&sel_satname=KASATCOM-2&plan_id=
AL-SAT-FSS-22.5W,France 🇫🇷,22.5°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AL-SAT-FSS-22.5W&sel_satname=AL-SAT-FSS-22.5W&plan_id=plan
FLTSATCOM-C E ATL-1,United States 🇺🇸,22.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+E+ATL-1&sel_satname=FLTSATCOM-C+E+ATL-1&plan_id=
MADAR-22.5W,United Arab Emirates 🇦🇪,22.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-22.5W&sel_satname=MADAR-22.5W&plan_id=
MADAR-22.5W-2,United Arab Emirates 🇦🇪,22.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-22.5W-2&sel_satname=MADAR-22.5W-2&plan_id=
GUY00000,Guyana 🇬🇾,23.8°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GUY00000&sel_satname=GUY00000&plan_id=plan
SSD00000,South Sudan 🇸🇸,23.9°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SSD00000&sel_satname=SSD00000&plan_id=plan
PROGNOZ-1,Russian Federation 🇷🇺,24.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=PROGNOZ-1&sel_satname=PROGNOZ-1&plan_id=
CHINASAT-E-24W,China 🇨🇳,24.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHINASAT-E-24W&sel_satname=CHINASAT-E-24W&plan_id=
CHINASAT-E-24W_1,China 🇨🇳,24.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHINASAT-E-24W_1&sel_satname=CHINASAT-E-24W_1&plan_id=
USCSID-E3,United States 🇺🇸,24.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USCSID-E3&sel_satname=USCSID-E3&plan_id=
