License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
KUPON-4M,Russian Federation 🇷🇺,86.5°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KUPON-4M&sel_satname=KUPON-4M&plan_id=
GT-SAT-30B-86.5E,Russian Federation 🇷🇺,86.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GT-SAT-30B-86.5E&sel_satname=GT-SAT-30B-86.5E&plan_id=plan
KAZSAT-30B-86.5E,Kazakhstan 🇰🇿,86.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=KAZSAT-30B-86.5E&sel_satname=KAZSAT-30B-86.5E&plan_id=plan
FY-2BS,China 🇨🇳,86.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2BS&sel_satname=FY-2BS&plan_id=
FY-2B,China 🇨🇳,86.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FY-2B&sel_satname=FY-2B&plan_id=
FYGEOSAT-86.5E,China 🇨🇳,86.5°E,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=FYGEOSAT-86.5E&sel_satname=FYGEOSAT-86.5E&plan_id=
KAZSAT2A,Kazakhstan 🇰🇿,86.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT2A&sel_satname=KAZSAT2A&plan_id=
FYGEOSAT-A-86.5E,China 🇨🇳,86.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FYGEOSAT-A-86.5E&sel_satname=FYGEOSAT-A-86.5E&plan_id=
KAZSAT2M,Kazakhstan 🇰🇿,86.5°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KAZSAT2M&sel_satname=KAZSAT2M&plan_id=
GT-SAT-86.5E,Russian Federation 🇷🇺,86.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GT-SAT-86.5E&sel_satname=GT-SAT-86.5E&plan_id=
KAZSAT2,Kazakhstan 🇰🇿,86.5°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KAZSAT2&sel_satname=KAZSAT2&plan_id=
USGOVSAT-19A,United States 🇺🇸,86.0°E,Non-Planned,Due Diligence (U),Yes,n/a,Full,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-19A&sel_satname=USGOVSAT-19A&plan_id=
