License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
UKDIGISAT-3,United Kingdom 🇬🇧,33.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKDIGISAT-3&sel_satname=UKDIGISAT-3&plan_id=
UKMMSAT-B_1,United Kingdom 🇬🇧,33.5°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=UKMMSAT-B_1&sel_satname=UKMMSAT-B_1&plan_id=
UKDRS-A14,United Kingdom 🇬🇧,33.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKDRS-A14&sel_satname=UKDRS-A14&plan_id=
UKDSAT-A2,United Kingdom 🇬🇧,33.5°W,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKDSAT-A2&sel_satname=UKDSAT-A2&plan_id=
UKMMSAT-A2,United Kingdom 🇬🇧,33.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKMMSAT-A2&sel_satname=UKMMSAT-A2&plan_id=
ALGSAT-33.5W,Algeria 🇩🇿,33.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ALGSAT-33.5W&sel_satname=ALGSAT-33.5W&plan_id=
ALG00000,Algeria 🇩🇿,33.5°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ALG00000&sel_satname=ALG00000&plan_id=plan
UKMMSAT-B,United Kingdom 🇬🇧,33.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKMMSAT-B&sel_satname=UKMMSAT-B&plan_id=
UKMMSAT-A4,United Kingdom 🇬🇧,33.5°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=UKMMSAT-A4&sel_satname=UKMMSAT-A4&plan_id=plan
SMMSAT-2R_1,Sweden 🇸🇪,33.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-2R_1&sel_satname=SMMSAT-2R_1&plan_id=
SMMSAT-2R,Sweden 🇸🇪,33.5°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SMMSAT-2R&sel_satname=SMMSAT-2R&plan_id=
AMS-30B-A1-33W,Israel 🇮🇱,33.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AMS-30B-A1-33W&sel_satname=AMS-30B-A1-33W&plan_id=plan
SKYNET-34W-KQ2,United Kingdom 🇬🇧,34.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SKYNET-34W-KQ2&sel_satname=SKYNET-34W-KQ2&plan_id=
SKYNET-5A,United Kingdom 🇬🇧,34.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-5A&sel_satname=SKYNET-5A&plan_id=
SKYNET-4M,United Kingdom 🇬🇧,34.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-4M&sel_satname=SKYNET-4M&plan_id=
SKYNET-4D,United Kingdom 🇬🇧,34.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=SKYNET-4D&sel_satname=SKYNET-4D&plan_id=
GMB00000,Gambia 🇬🇲,34.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GMB00000&sel_satname=GMB00000&plan_id=plan
SKYNET-34W-KQ,United Kingdom 🇬🇧,34.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SKYNET-34W-KQ&sel_satname=SKYNET-34W-KQ&plan_id=
GRD00000,Grenada 🇬🇩,32.8°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GRD00000&sel_satname=GRD00000&plan_id=plan
