License,ITU Administration,Longitude,License Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
NEW DAWN 43,Papua New Guinea 🇵🇬,169.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NEW+DAWN+43&sel_satname=NEW+DAWN+43&plan_id=
USASAT-14G,United States 🇺🇸,169.0°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-14G&sel_satname=USASAT-14G&plan_id=
USASAT-60J,United States 🇺🇸,169.0°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60J&sel_satname=USASAT-60J&plan_id=
USASAT-60V,United States 🇺🇸,169.0°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60V&sel_satname=USASAT-60V&plan_id=
USASAT-55L,United States 🇺🇸,169.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55L&sel_satname=USASAT-55L&plan_id=
ODYSSEY-169E,Germany 🇩🇪,169.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-169E&sel_satname=ODYSSEY-169E&plan_id=
CHNNEWSAT-G1-169E,China 🇨🇳,169.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-169E&sel_satname=CHNNEWSAT-G1-169E&plan_id=
F-SAT-N7-169E,France 🇫🇷,169.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-169E&sel_satname=F-SAT-N7-169E&plan_id=
USASAT-55V,United States 🇺🇸,169.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55V&sel_satname=USASAT-55V&plan_id=
CHNNEWSAT-G2-169E,China 🇨🇳,169.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G2-169E&sel_satname=CHNNEWSAT-G2-169E&plan_id=
USASAT-101C,United States 🇺🇸,169.0°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-101C&sel_satname=USASAT-101C&plan_id=plan
F-SAT-30B-169E,France 🇫🇷,169.0°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-169E&sel_satname=F-SAT-30B-169E&plan_id=plan
JMCS-6-168E5,Japan 🇯🇵,168.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=JMCS-6-168E5&sel_satname=JMCS-6-168E5&plan_id=
USNN-5,United States 🇺🇸,170.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USNN-5&sel_satname=USNN-5&plan_id=
USLL-PAC7,United States 🇺🇸,170.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USLL-PAC7&sel_satname=USLL-PAC7&plan_id=
