Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
CTDRS-2-10.6E,China 🇨🇳,10.6°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CTDRS-2-10.6E&sel_satname=CTDRS-2-10.6E&plan_id=
BFA00000,Burkina Faso 🇧🇫,10.79°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BFA00000&sel_satname=BFA00000&plan_id=plan
INMARSAT-8-11E,United Kingdom 🇬🇧,11.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-8-11E&sel_satname=INMARSAT-8-11E&plan_id=
JORSAT-11E,Jordan 🇯🇴,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=JORSAT-11E&sel_satname=JORSAT-11E&plan_id=
HISPASAT-81A,Spain 🇪🇸,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-81A&sel_satname=HISPASAT-81A&plan_id=
ARABSAT-11G-11E,Saudi Arabia 🇸🇦,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-11G-11E&sel_satname=ARABSAT-11G-11E&plan_id=
ARABSAT-9G-11E,Saudi Arabia 🇸🇦,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-9G-11E&sel_satname=ARABSAT-9G-11E&plan_id=
ARABSAT 8G-11E,Saudi Arabia 🇸🇦,11.0°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=ARABSAT+8G-11E&sel_satname=ARABSAT+8G-11E&plan_id=
PESSE-11E-VB,Netherlands 🇳🇱,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-11E-VB&sel_satname=PESSE-11E-VB&plan_id=
FUTURA-1,United Arab Emirates 🇦🇪,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FUTURA-1&sel_satname=FUTURA-1&plan_id=
PESSE-11E-KA,Netherlands 🇳🇱,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=PESSE-11E-KA&sel_satname=PESSE-11E-KA&plan_id=
USGOVSAT-15A,United States 🇺🇸,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-15A&sel_satname=USGOVSAT-15A&plan_id=
HISPASAT-48A,Spain 🇪🇸,11.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-48A&sel_satname=HISPASAT-48A&plan_id=
