Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
EXPRESS-8,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-8&sel_satname=EXPRESS-8&plan_id=
EXPRESS-8B,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EXPRESS-8B&sel_satname=EXPRESS-8B&plan_id=
MADAR-96.5E,United Arab Emirates 🇦🇪,96.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-96.5E&sel_satname=MADAR-96.5E&plan_id=
VOLNA-5R,Russian Federation 🇷🇺,96.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-5R&sel_satname=VOLNA-5R&plan_id=
SIGNSAT-96E_1,China 🇨🇳,96.2°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SIGNSAT-96E_1&sel_satname=SIGNSAT-96E_1&plan_id=
CBGSAT-96.1E,Cambodia 🇰🇭,96.1°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CBGSAT-96.1E&sel_satname=CBGSAT-96.1E&plan_id=
CBG00000,Cambodia 🇰🇭,96.1°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CBG00000&sel_satname=CBG00000&plan_id=plan
MEASAT-3B,Malaysia 🇲🇾,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-3B&sel_satname=MEASAT-3B&plan_id=
KTSAT-97E,Korea (Rep. of) 🇰🇷,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KTSAT-97E&sel_satname=KTSAT-97E&plan_id=
KOREASAT-97A,Korea (Rep. of) 🇰🇷,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KOREASAT-97A&sel_satname=KOREASAT-97A&plan_id=
UKSAT-32,United Kingdom 🇬🇧,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKSAT-32&sel_satname=UKSAT-32&plan_id=
MADAR-97E,United Arab Emirates 🇦🇪,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-97E&sel_satname=MADAR-97E&plan_id=
MEASAT-3B_1,Malaysia 🇲🇾,97.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MEASAT-3B_1&sel_satname=MEASAT-3B_1&plan_id=
MADAR-96E,United Arab Emirates 🇦🇪,96.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-96E&sel_satname=MADAR-96E&plan_id=
USGAE-13B,United States 🇺🇸,96.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGAE-13B&sel_satname=USGAE-13B&plan_id=
F-SAT-N8-96E,France 🇫🇷,96.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N8-96E&sel_satname=F-SAT-N8-96E&plan_id=
