Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
INMARSAT-3 AOR WEST3,United Kingdom 🇬🇧,98.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-3+AOR+WEST3&sel_satname=INMARSAT-3+AOR+WEST3&plan_id=
INMARSAT-4A 98W,United Kingdom 🇬🇧,98.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-4A+98W&sel_satname=INMARSAT-4A+98W&plan_id=
INMARSAT-6-98W,United Kingdom 🇬🇧,98.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-6-98W&sel_satname=INMARSAT-6-98W&plan_id=
N-SAT-Y17-98W,Japan 🇯🇵,98.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y17-98W&sel_satname=N-SAT-Y17-98W&plan_id=
INMARSAT-ISL-98W,United Kingdom 🇬🇧,98.0°W,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=INMARSAT-ISL-98W&sel_satname=INMARSAT-ISL-98W&plan_id=
INMARSAT-6-98W-R,United Kingdom 🇬🇧,98.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-98W-R&sel_satname=INMARSAT-6-98W-R&plan_id=
INMARSAT-4 98W,United Kingdom 🇬🇧,98.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INMARSAT-4+98W&sel_satname=INMARSAT-4+98W&plan_id=
ABW00000,Netherlands 🇳🇱,98.2°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ABW00000&sel_satname=ABW00000&plan_id=plan
HISPASAT-54A,Spain 🇪🇸,97.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-54A&sel_satname=HISPASAT-54A&plan_id=
HISPASAT-77A,Spain 🇪🇸,97.5°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=HISPASAT-77A&sel_satname=HISPASAT-77A&plan_id=plan
USASAT-60G,United States 🇺🇸,99.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60G&sel_satname=USASAT-60G&plan_id=
USABSN-13A,United States 🇺🇸,99.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USABSN-13A&sel_satname=USABSN-13A&plan_id=
ODYSSEY-99W,Germany 🇩🇪,99.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-99W&sel_satname=ODYSSEY-99W&plan_id=
USASAT-31N,United States 🇺🇸,99.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-31N&sel_satname=USASAT-31N&plan_id=
USASAT-35J,United States 🇺🇸,99.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35J&sel_satname=USASAT-35J&plan_id=
USASAT-24J,United States 🇺🇸,99.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24J&sel_satname=USASAT-24J&plan_id=
QATARSAT-G5-99W,Qatar 🇶🇦,99.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=QATARSAT-G5-99W&sel_satname=QATARSAT-G5-99W&plan_id=
ODYSSEY FSS-99W,Germany 🇩🇪,99.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-99W&sel_satname=ODYSSEY+FSS-99W&plan_id=plan
