Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
KAZSAT1A,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT1A&sel_satname=KAZSAT1A&plan_id=
KAZSAT1,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KAZSAT1&sel_satname=KAZSAT1&plan_id=
KAZSAT1M,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KAZSAT1M&sel_satname=KAZSAT1M&plan_id=
MADAR-58.5E,United Arab Emirates 🇦🇪,58.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-58.5E&sel_satname=MADAR-58.5E&plan_id=
KAZSAT-KA-58.5E,Kazakhstan 🇰🇿,58.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=KAZSAT-KA-58.5E&sel_satname=KAZSAT-KA-58.5E&plan_id=
KAZSAT-30B-58.5E,Kazakhstan 🇰🇿,58.5°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KAZSAT-30B-58.5E&sel_satname=KAZSAT-30B-58.5E&plan_id=plan
KAZ00000,Kazakhstan 🇰🇿,58.5°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=KAZ00000&sel_satname=KAZ00000&plan_id=plan
ARABSAT-10Q-58.5E,Saudi Arabia 🇸🇦,58.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ARABSAT-10Q-58.5E&sel_satname=ARABSAT-10Q-58.5E&plan_id=
CYP-SAT-KM-58.45E,Cyprus 🇨🇾,58.45°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-58.45E&sel_satname=CYP-SAT-KM-58.45E&plan_id=
ETHIOSAT-1,Ethiopia 🇪🇹,58.3°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ETHIOSAT-1&sel_satname=ETHIOSAT-1&plan_id=plan
