Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
ODYSSEY FSS-127W,Germany 🇩🇪,127.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-127W&sel_satname=ODYSSEY+FSS-127W&plan_id=plan
UKFSS-127W,United Kingdom 🇬🇧,127.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=UKFSS-127W&sel_satname=UKFSS-127W&plan_id=plan
NFP-SAT-Y16-127W,Japan 🇯🇵,127.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NFP-SAT-Y16-127W&sel_satname=NFP-SAT-Y16-127W&plan_id=plan
USASAT-50A,United States 🇺🇸,127.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-50A&sel_satname=USASAT-50A&plan_id=
N-SAT-127W,Japan 🇯🇵,127.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=N-SAT-127W&sel_satname=N-SAT-127W&plan_id=
IOMSAT-127W,United Kingdom 🇬🇧,127.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IOMSAT-127W&sel_satname=IOMSAT-127W&plan_id=
ODYSSEY-127W-1,Germany 🇩🇪,127.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ODYSSEY-127W-1&sel_satname=ODYSSEY-127W-1&plan_id=
N-SAT-Y18-127W,Japan 🇯🇵,127.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=N-SAT-Y18-127W&sel_satname=N-SAT-Y18-127W&plan_id=
USNN-3,United States 🇺🇸,127.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USNN-3&sel_satname=USNN-3&plan_id=
USLL-PAC6,United States 🇺🇸,127.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USLL-PAC6&sel_satname=USLL-PAC6&plan_id=
USASAT-35C,United States 🇺🇸,127.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-35C&sel_satname=USASAT-35C&plan_id=
USASAT-24O,United States 🇺🇸,127.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-24O&sel_satname=USASAT-24O&plan_id=
N-SAT-Y22-127W,Japan 🇯🇵,127.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-127W&sel_satname=N-SAT-Y22-127W&plan_id=
GOES-2-128W,United States 🇺🇸,128.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=GOES-2-128W&sel_satname=GOES-2-128W&plan_id=
TON00000,Tonga 🇹🇴,128.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=TON00000&sel_satname=TON00000&plan_id=plan
