Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
CHINASAT-MSB4,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-MSB4&sel_satname=CHINASAT-MSB4&plan_id=
DFH-3-OD,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-3-OD&sel_satname=DFH-3-OD&plan_id=
CHINASAT-G-115.5E,China 🇨🇳,115.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHINASAT-G-115.5E&sel_satname=CHINASAT-G-115.5E&plan_id=
CHINASAT-115.5E,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-115.5E&sel_satname=CHINASAT-115.5E&plan_id=
DFH-4-OD,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-4-OD&sel_satname=DFH-4-OD&plan_id=
CHINASAT-30B-115.5E,China 🇨🇳,115.5°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-30B-115.5E&sel_satname=CHINASAT-30B-115.5E&plan_id=plan
CHINASAT-D-115.5E,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-D-115.5E&sel_satname=CHINASAT-D-115.5E&plan_id=
DFH-5-OD,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DFH-5-OD&sel_satname=DFH-5-OD&plan_id=
CHINASAT-ROUTE7,China 🇨🇳,115.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=CHINASAT-ROUTE7&sel_satname=CHINASAT-ROUTE7&plan_id=
CHINASAT-30B1-115.5E,China 🇨🇳,115.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=CHINASAT-30B1-115.5E&sel_satname=CHINASAT-30B1-115.5E&plan_id=plan
CHINASAT-D-115.5E_1,China 🇨🇳,115.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHINASAT-D-115.5E_1&sel_satname=CHINASAT-D-115.5E_1&plan_id=
