Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
EG-SAT-38W,France 🇫🇷,38.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=EG-SAT-38W&sel_satname=EG-SAT-38W&plan_id=
USOBO-15B,United States 🇺🇸,38.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-15B&sel_satname=USOBO-15B&plan_id=
USGON-5,United States 🇺🇸,38.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-5&sel_satname=USGON-5&plan_id=
MADAR-38.5W,United Arab Emirates 🇦🇪,38.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-38.5W&sel_satname=MADAR-38.5W&plan_id=
NGR00000,Niger 🇳🇪,38.5°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NGR00000&sel_satname=NGR00000&plan_id=plan
USASAT-26A-1,United States 🇺🇸,37.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USASAT-26A-1&sel_satname=USASAT-26A-1&plan_id=
USASAT-25A-1,United States 🇺🇸,37.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-25A-1&sel_satname=USASAT-25A-1&plan_id=
USASAT-26A,United States 🇺🇸,37.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-26A&sel_satname=USASAT-26A&plan_id=
USASAT-25A,United States 🇺🇸,37.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-25A&sel_satname=USASAT-25A&plan_id=
BERCAYMS,United Kingdom 🇬🇧,37.1°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BERCAYMS&sel_satname=BERCAYMS&plan_id=plan
ASCSTHTC,United Kingdom 🇬🇧,37.1°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ASCSTHTC&sel_satname=ASCSTHTC&plan_id=plan
G  00000,United Kingdom 🇬🇧,37.1°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=G++00000&sel_satname=G++00000&plan_id=plan
FLKSTGGL,United Kingdom 🇬🇧,37.1°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=FLKSTGGL&sel_satname=FLKSTGGL&plan_id=plan
HISPASAT-1-39W,Spain 🇪🇸,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-1-39W&sel_satname=HISPASAT-1-39W&plan_id=
F-SAT-N7-39W,France 🇫🇷,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-39W&sel_satname=F-SAT-N7-39W&plan_id=
DJCF-2A,United Kingdom 🇬🇧,39.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=DJCF-2A&sel_satname=DJCF-2A&plan_id=
USGAE-17R,United States 🇺🇸,39.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-17R&sel_satname=USGAE-17R&plan_id=
HISPASAT-56A_1,Spain 🇪🇸,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-56A_1&sel_satname=HISPASAT-56A_1&plan_id=
HISPASAT-56A,Spain 🇪🇸,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-56A&sel_satname=HISPASAT-56A&plan_id=
HISPASAT-2-39W,Spain 🇪🇸,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=HISPASAT-2-39W&sel_satname=HISPASAT-2-39W&plan_id=
F-SAT-N10-39W,France 🇫🇷,39.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-39W&sel_satname=F-SAT-N10-39W&plan_id=
PACIFISAT-FSS-39W,Papua New Guinea 🇵🇬,39.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=PACIFISAT-FSS-39W&sel_satname=PACIFISAT-FSS-39W&plan_id=plan
F-SAT-30B-39W,France 🇫🇷,39.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-39W&sel_satname=F-SAT-30B-39W&plan_id=plan
F-SAT-P-30B-39W-F,France 🇫🇷,39.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-39W-F&sel_satname=F-SAT-P-30B-39W-F&plan_id=plan
