Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
MILSTAR 4,United States 🇺🇸,55.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=MILSTAR+4&sel_satname=MILSTAR+4&plan_id=
USGAE-5A,United States 🇺🇸,55.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGAE-5A&sel_satname=USGAE-5A&plan_id=
MADAR-55E_1,United Arab Emirates 🇦🇪,55.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-55E_1&sel_satname=MADAR-55E_1&plan_id=
SMMSAT-5R,Sweden 🇸🇪,55.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-5R&sel_satname=SMMSAT-5R&plan_id=
INSAT-TTC(55)E,India 🇮🇳,55.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-TTC(55)E&sel_satname=INSAT-TTC(55)E&plan_id=
INSAT-NAV(55),India 🇮🇳,55.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-NAV(55)&sel_satname=INSAT-NAV(55)&plan_id=
INSAT-KU11(55)E,India 🇮🇳,55.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INSAT-KU11(55)E&sel_satname=INSAT-KU11(55)E&plan_id=
KUPON-1M,Russian Federation 🇷🇺,55.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=KUPON-1M&sel_satname=KUPON-1M&plan_id=
MADAR-55E,United Arab Emirates 🇦🇪,55.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-55E&sel_satname=MADAR-55E&plan_id=
UKDRS-A13,United Kingdom 🇬🇧,55.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UKDRS-A13&sel_satname=UKDRS-A13&plan_id=
