Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
DNK00FAR,Denmark 🇩🇰,49.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DNK00FAR&sel_satname=DNK00FAR&plan_id=plan
GRL00000,Denmark 🇩🇰,49.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GRL00000&sel_satname=GRL00000&plan_id=plan
DNK00002,Denmark 🇩🇰,49.0°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=DNK00002&sel_satname=DNK00002&plan_id=plan
TDRS 49W-R,United States 🇺🇸,49.0°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TDRS+49W-R&sel_satname=TDRS+49W-R&plan_id=
TDRS 49W,United States 🇺🇸,49.0°W,Non-Planned,Advance Public Information (A),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=TDRS+49W&sel_satname=TDRS+49W&plan_id=
USOBO-3B,United States 🇺🇸,49.4°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-3B&sel_satname=USOBO-3B&plan_id=
USOBO-3,United States 🇺🇸,49.4°W,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USOBO-3&sel_satname=USOBO-3&plan_id=
SEN00000,Senegal 🇸🇳,48.4°W,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=SEN00000&sel_satname=SEN00000&plan_id=plan
IK-49.5W,Russian Federation 🇷🇺,49.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=IK-49.5W&sel_satname=IK-49.5W&plan_id=
CHNNEWSAT-G1-48W,China 🇨🇳,48.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-48W&sel_satname=CHNNEWSAT-G1-48W&plan_id=
SISCOMIS-8A,Brazil 🇧🇷,48.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SISCOMIS-8A&sel_satname=SISCOMIS-8A&plan_id=
B-SAT-1W,Brazil 🇧🇷,48.0°W,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=B-SAT-1W&sel_satname=B-SAT-1W&plan_id=
