Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
NUSANTARA-BR1-E,Indonesia 🇮🇩,150.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NUSANTARA-BR1-E&sel_satname=NUSANTARA-BR1-E&plan_id=
PALAPA-C4-A,Indonesia 🇮🇩,150.5°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-A&sel_satname=PALAPA-C4-A&plan_id=
PALAPA-C4-K,Indonesia 🇮🇩,150.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-K&sel_satname=PALAPA-C4-K&plan_id=
PALAPA-C4-B,Indonesia 🇮🇩,150.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4-B&sel_satname=PALAPA-C4-B&plan_id=
PALAPA-C4,Indonesia 🇮🇩,150.5°E,Non-Planned,Due Diligence (U),Yes,Partial,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=PALAPA-C4&sel_satname=PALAPA-C4&plan_id=
NUSANTARA-B7A-30B,Indonesia 🇮🇩,150.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NUSANTARA-B7A-30B&sel_satname=NUSANTARA-B7A-30B&plan_id=plan
VUT00000,Vanuatu 🇻🇺,150.7°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=VUT00000&sel_satname=VUT00000&plan_id=plan
JCSAT-FO-150E,Japan 🇯🇵,150.0°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JCSAT-FO-150E&sel_satname=JCSAT-FO-150E&plan_id=
N-SAT-Y18-150E,Japan 🇯🇵,150.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y18-150E&sel_satname=N-SAT-Y18-150E&plan_id=
N-SAT-Y22-150E,Japan 🇯🇵,150.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=N-SAT-Y22-150E&sel_satname=N-SAT-Y22-150E&plan_id=
JCSAT-1,Japan 🇯🇵,150.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=JCSAT-1&sel_satname=JCSAT-1&plan_id=
