Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
SMMSAT-3R_1,Sweden 🇸🇪,21.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-3R_1&sel_satname=SMMSAT-3R_1&plan_id=
SMMSAT-3R,Sweden 🇸🇪,21.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=SMMSAT-3R&sel_satname=SMMSAT-3R&plan_id=
INMARSAT-6-21.5E,United Kingdom 🇬🇧,21.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INMARSAT-6-21.5E&sel_satname=INMARSAT-6-21.5E&plan_id=
LUX-G7-6,Luxembourg 🇱🇺,21.5°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G7-6&sel_satname=LUX-G7-6&plan_id=
LUX-G6-6,Luxembourg 🇱🇺,21.5°E,Non-Planned,Due Diligence (U),Yes,n/a,Resumed,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=LUX-G6-6&sel_satname=LUX-G6-6&plan_id=
F-SAT-N3-21.5E,France 🇫🇷,21.5°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-21.5E&sel_satname=F-SAT-N3-21.5E&plan_id=
EUTELSAT 3-21.5E,France 🇫🇷,21.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+3-21.5E&sel_satname=EUTELSAT+3-21.5E&plan_id=
EUTELSAT 2-21.5E,France 🇫🇷,21.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+2-21.5E&sel_satname=EUTELSAT+2-21.5E&plan_id=
F-SAT-N-E-21.5E,France 🇫🇷,21.5°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N-E-21.5E&sel_satname=F-SAT-N-E-21.5E&plan_id=
F-SAT-30B-21.5E,France 🇫🇷,21.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-21.5E&sel_satname=F-SAT-30B-21.5E&plan_id=plan
F-SAT-E-30B-21.5E,France 🇫🇷,21.5°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-E-30B-21.5E&sel_satname=F-SAT-E-30B-21.5E&plan_id=plan
FMS6-21.5E,France 🇫🇷,21.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=FMS6-21.5E&sel_satname=FMS6-21.5E&plan_id=
EUTELSAT 1-5,France 🇫🇷,21.5°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=EUTELSAT+1-5&sel_satname=EUTELSAT+1-5&plan_id=
F-SAT-30B-1-21.5E,France 🇫🇷,21.5°E,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-1-21.5E&sel_satname=F-SAT-30B-1-21.5E&plan_id=plan
F-SAT-N7-21.5E,France 🇫🇷,21.5°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-21.5E&sel_satname=F-SAT-N7-21.5E&plan_id=
CY-AQUARIUS,Cyprus 🇨🇾,21.35°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CY-AQUARIUS&sel_satname=CY-AQUARIUS&plan_id=
BOT00000,Botswana 🇧🇼,21.2°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=BOT00000&sel_satname=BOT00000&plan_id=plan
OMANSAT-22E,Oman 🇴🇲,22.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=OMANSAT-22E&sel_satname=OMANSAT-22E&plan_id=
GRC00000,Greece 🇬🇷,22.05°E,Planned,Planned (P/Plan/List),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=GRC00000&sel_satname=GRC00000&plan_id=plan
UK-KA-21E-VB,United Kingdom 🇬🇧,21.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-21E-VB&sel_satname=UK-KA-21E-VB&plan_id=
UK-KA-21E,United Kingdom 🇬🇧,21.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-21E&sel_satname=UK-KA-21E&plan_id=
USOBO-5A,United States 🇺🇸,20.6°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USOBO-5A&sel_satname=USOBO-5A&plan_id=
