Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
MADAR-9E,United Arab Emirates 🇦🇪,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-9E&sel_satname=MADAR-9E&plan_id=
UK-KA-9E-VB,United Kingdom 🇬🇧,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-9E-VB&sel_satname=UK-KA-9E-VB&plan_id=
CYP-SAT-KM-9E,Cyprus 🇨🇾,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CYP-SAT-KM-9E&sel_satname=CYP-SAT-KM-9E&plan_id=
MADAR-9E-2,United Arab Emirates 🇦🇪,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-9E-2&sel_satname=MADAR-9E-2&plan_id=
F-SAT-N7-9E,France 🇫🇷,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-9E&sel_satname=F-SAT-N7-9E&plan_id=
F-SAT-N3-9E,France 🇫🇷,9.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N3-9E&sel_satname=F-SAT-N3-9E&plan_id=
F-SAT-E-30B-9E,France 🇫🇷,9.0°E,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-E-30B-9E&sel_satname=F-SAT-E-30B-9E&plan_id=plan
F-SAT-N5-9E,France 🇫🇷,9.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-N5-9E&sel_satname=F-SAT-N5-9E&plan_id=
EDRS-1,France 🇫🇷,9.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EDRS-1&sel_satname=EDRS-1&plan_id=
UK-KA-9E,United Kingdom 🇬🇧,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=UK-KA-9E&sel_satname=UK-KA-9E&plan_id=
F-SAT-N10-9E,France 🇫🇷,9.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N10-9E&sel_satname=F-SAT-N10-9E&plan_id=
F-SAT-KA-E-9E,France 🇫🇷,9.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=F-SAT-KA-E-9E&sel_satname=F-SAT-KA-E-9E&plan_id=
F-SAT-T-E-9E,France 🇫🇷,9.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-T-E-9E&sel_satname=F-SAT-T-E-9E&plan_id=
