Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
USGON-1,United States 🇺🇸,70.0°E,Non-Planned,Notification of Space Station (N),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USGON-1&sel_satname=USGON-1&plan_id=
USTRO-6,United States 🇺🇸,70.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USTRO-6&sel_satname=USTRO-6&plan_id=
RGS-S-70E,Russian Federation 🇷🇺,70.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=RGS-S-70E&sel_satname=RGS-S-70E&plan_id=
BV-SAT-70E,Russian Federation 🇷🇺,70.0°E,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=BV-SAT-70E&sel_satname=BV-SAT-70E&plan_id=
VOLNA-19,Russian Federation 🇷🇺,70.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=VOLNA-19&sel_satname=VOLNA-19&plan_id=
TONGASAT-H70,Tonga 🇹🇴,70.0°E,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TONGASAT-H70&sel_satname=TONGASAT-H70&plan_id=
TOR-17M,Russian Federation 🇷🇺,70.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=TOR-17M&sel_satname=TOR-17M&plan_id=
USOBO-19B,United States 🇺🇸,70.0°E,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-19B&sel_satname=USOBO-19B&plan_id=
GALS-16,Russian Federation 🇷🇺,70.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=GALS-16&sel_satname=GALS-16&plan_id=
STATSIONAR-20,Russian Federation 🇷🇺,70.0°E,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=STATSIONAR-20&sel_satname=STATSIONAR-20&plan_id=
