Network,ITU Administration,Longitude,Network Type,Filing Type,Brought into Use,Due Diligence Match,Suspended,Link
USASAT-55F,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55F&sel_satname=USASAT-55F&plan_id=
USASAT-55E-1,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Full,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55E-1&sel_satname=USASAT-55E-1&plan_id=
USASAT-26C,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-26C&sel_satname=USASAT-26C&plan_id=
USASAT-25C,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-25C&sel_satname=USASAT-25C&plan_id=
MADAR-43W-4,United Arab Emirates 🇦🇪,43.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-43W-4&sel_satname=MADAR-43W-4&plan_id=
MADAR-43W-3,United Arab Emirates 🇦🇪,43.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-43W-3&sel_satname=MADAR-43W-3&plan_id=
MADAR-43W-2,United Arab Emirates 🇦🇪,43.0°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MADAR-43W-2&sel_satname=MADAR-43W-2&plan_id=
YAHSAT-G5-43W,United Arab Emirates 🇦🇪,43.0°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAHSAT-G5-43W&sel_satname=YAHSAT-G5-43W&plan_id=
USASAT-50D,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-50D&sel_satname=USASAT-50D&plan_id=
USASAT-55E,United States 🇺🇸,43.0°W,Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-55E&sel_satname=USASAT-55E&plan_id=plan
ODYSSEY FSS-43W,Germany 🇩🇪,43.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ODYSSEY+FSS-43W&sel_satname=ODYSSEY+FSS-43W&plan_id=plan
USASAT-60S,United States 🇺🇸,43.0°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USASAT-60S&sel_satname=USASAT-60S&plan_id=
USGCSS PH3B MID-ATL,United States 🇺🇸,42.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3B+MID-ATL&sel_satname=USGCSS+PH3B+MID-ATL&plan_id=
USGOVSAT-7A,United States 🇺🇸,42.5°W,Non-Planned,Due Diligence (U),Yes,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGOVSAT-7A&sel_satname=USGOVSAT-7A&plan_id=
USGOVSAT-7B,United States 🇺🇸,42.5°W,Non-Planned,Coordination Request (C),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USGOVSAT-7B&sel_satname=USGOVSAT-7B&plan_id=
USGCSS PH3 MID-ATL,United States 🇺🇸,42.5°W,Non-Planned,Due Diligence (U),Yes,Partial,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=USGCSS+PH3+MID-ATL&sel_satname=USGCSS+PH3+MID-ATL&plan_id=
MR-SAT FSS 44W,France 🇫🇷,44.0°W,Planned,Planned (P),No,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MR-SAT+FSS+44W&sel_satname=MR-SAT+FSS+44W&plan_id=plan
