NORAD ID,Longitude,Compliance Grade
20253,123.31,F
22787,28.67,F
22988,-90.83,F
23467,171.96,B
23712,-119.46,F
25258,-97.99,F
25924,159.03,F
25967,-22.75,F
26388,89.22,F
26554,175.97,A
26580,-139.02,B
26715,-124.71,F
26824,-27.51,B
26880,-49.66,F
27168,19.0,B
27445,-94.86,F
27691,-130.12,F
27711,150.7,F
27718,147.55,D
27825,43.87,F
27854,-121.0,A
27954,-126.96,A
28117,75.49,F
28252,-111.08,B
28358,-1.0,A
28378,-111.14,B
28446,-105.08,A
28542,28.99,B
28628,143.47,A
28659,-118.99,C
28702,-88.99,A
28786,119.49,A
28868,-107.33,B
28899,63.84,F
28935,-110.17,C
28945,-30.0,B
28946,12.93,A
29045,132.06,A
29055,19.18,A
29155,61.24,F
29162,-113.02,D
29236,-98.99,A
29270,12.98,A
29272,128.02,B
29273,-5.21,F
29349,113.07,A
29494,-101.23,C
29495,152.0,B
29520,-38.96,A
29526,25.96,B
29643,-111.19,F
29644,-83.04,B
31102,-118.72,A
31306,19.19,A
31307,-85.0,B
31800,115.51,A
31862,-102.8,B
32018,-94.95,A
32019,109.84,B
32252,159.99,A
32253,-43.04,A
32258,6.01,F
32299,4.79,F
32388,-73.82,F
32404,98.56,B
32478,-1.17,F
32487,-0.77,B
32729,-99.2,B
32763,-92.84,F
32767,131.95,A
32768,-65.01,A
32794,-4.13,F
32951,-123.04,A
33051,92.22,A
33055,-17.88,A
33056,41.96,B
33153,-31.52,A
33154,25.98,B
33207,-110.01,C
33274,143.97,A
33275,-124.88,D
33278,-97.97,A
33373,-82.02,A
33376,-97.03,B
33436,19.13,B
33453,-128.83,F
33459,-7.13,F
33463,86.39,F
33595,-11.04,A
33749,-176.95,B
33750,33.05,A
34111,-37.57,F
34710,9.95,A
34713,57.51,F
34941,108.23,B
35362,91.49,B
35493,-86.13,A
35496,-110.98,F
35696,100.59,B
35756,155.98,A
35873,-72.72,F
35942,-61.05,D
35943,63.05,A
36032,57.03,A
36033,-0.87,B
36097,-45.02,A
36101,35.85,F
36106,85.18,F
36131,-102.72,B
36358,85.01,B
36395,-103.76,F
36397,-76.22,F
36499,-118.89,F
36516,-100.98,A
36581,23.45,B
36582,13.12,F
36592,25.95,B
36744,128.16,A
36745,30.44,A
36828,108.02,F
36830,-7.06,B
36831,2.84,C
36868,3.85,F
37207,109.87,B
37210,160.07,A
37218,-101.25,C
37238,66.04,A
37256,117.82,B
37258,8.93,A
37264,-30.07,A
37265,116.0,B
37384,109.35,F
37392,32.81,F
37393,52.49,A
37481,65.75,F
37602,-63.03,F
37605,55.08,A
37606,88.0,A
37677,110.51,A
37749,86.54,A
37763,103.81,F
37779,37.92,A
37804,-27.63,F
37809,-87.02,B
37810,20.0,A
37816,-7.29,F
37826,-77.01,C
37834,-179.97,A
37836,16.0,B
37843,-115.09,B
37933,105.47,B
37948,104.4,F
38014,42.51,A
38070,88.4,F
38087,-22.01,A
38093,-100.45,F
38098,72.07,A
38107,76.54,A
38245,47.57,A
38254,-94.22,B
38331,124.03,A
38332,131.86,A
38342,-91.14,C
38352,98.29,A
38356,166.05,B
38551,-107.11,F
38652,4.99,A
38740,68.53,A
38741,31.04,A
38749,-58.02,B
38778,28.19,B
38779,83.0,B
38867,-52.97,A
38978,-177.04,A
38991,-75.02,A
38992,21.62,F
39008,-61.48,C
39017,87.51,A
39020,70.49,A
39022,54.93,A
39034,52.8,F
39035,-114.82,A
39070,-174.35,F
39078,-61.05,D
39079,46.0,D
39120,-38.0,C
39122,-116.83,F
39127,-107.33,A
39157,97.9,B
39163,6.99,B
39168,-52.5,A
39172,-40.49,A
39206,-176.45,F
39216,82.07,A
39222,-135.19,F
39233,25.47,B
