NORAD ID,Longitude,Compliant,Highest-Maturity Filing Type,Brought-into-Use,Due Diligence Match,Suspension Status
55686,125.17,No 🔴,n/a,n/a,n/a,n/a
29272,128.02,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43432,128.06,Yes 🟢,Due Diligence (U),Yes,Full,n/a
36744,128.15,Yes 🟢,Due Diligence (U),Yes,Full,n/a
45246,128.26,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43823,128.29,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41034,128.5,Yes 🟢,Due Diligence (U),Yes,Full,n/a
56759,129.41,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41729,129.54,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41469,129.62,No 🔴,n/a,n/a,n/a,n/a
43920,130.04,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
49505,130.18,No 🔴,n/a,n/a,n/a,n/a
44067,130.45,No 🔴,n/a,n/a,n/a,n/a
38332,131.87,Yes 🟢,Due Diligence (U),Yes,Full,n/a
32767,131.97,Yes 🟢,Due Diligence (U),Yes,Full,n/a
29045,132.05,Yes 🟢,Due Diligence (U),Yes,Full,n/a
48808,133.32,No 🔴,n/a,n/a,n/a,n/a
43450,134.02,Yes 🟢,Due Diligence (U),Yes,Full,n/a
45863,134.06,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43339,134.11,No 🔴,n/a,n/a,n/a,n/a
45245,136.05,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
50574,137.23,No 🟡,Coordination Request (C),No,n/a,n/a
45465,137.41,No 🔴,n/a,n/a,n/a,n/a
43611,138.01,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
43162,139.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
39613,139.86,No 🔴,n/a,n/a,n/a,n/a
39487,140.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40940,140.27,No 🔴,n/a,n/a,n/a,n/a
40267,140.68,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41836,140.78,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
55683,141.72,No 🔴,n/a,n/a,n/a,n/a
40982,142.03,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
51281,143.07,No 🔴,n/a,n/a,n/a,n/a
28628,143.49,Yes 🟢,Due Diligence (U),Yes,Full,n/a
33274,143.97,Yes 🟢,Due Diligence (U),Yes,Full,n/a
44231,144.53,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
41794,144.83,No 🔴,n/a,n/a,n/a,n/a
50001,144.95,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
44048,146.06,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
47851,146.69,No 🟡,Coordination Request (C),No,n/a,n/a
55912,146.78,No 🟡,Coordination Request (C),No,n/a,n/a
27718,147.59,No 🟡,Coordination Request (C),No,n/a,n/a
55239,148.0,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
41879,149.83,No 🔴,n/a,n/a,n/a,n/a
44868,149.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41591,150.52,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
27711,150.97,No 🔴,n/a,n/a,n/a,n/a
29495,152.0,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
41471,154.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41744,154.6,No 🔴,n/a,n/a,n/a,n/a
40892,154.98,Yes 🟢,Due Diligence (U),Yes,Full,n/a
50321,155.89,No 🔴,n/a,n/a,n/a,n/a
35756,155.99,Yes 🟢,Due Diligence (U),Yes,Full,Full
40146,156.04,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
25924,159.04,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
32252,160.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37210,160.07,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43271,162.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
54230,163.29,No 🔴,n/a,n/a,n/a,n/a
55506,165.75,Yes 🟢,Due Diligence (U),Yes,n/a,Resumed
38356,166.01,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
43633,169.01,Yes 🟢,Due Diligence (U),Yes,Full,n/a
50005,170.98,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
23467,171.97,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42741,172.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
43874,172.96,Yes 🟢,Due Diligence (U),Yes,Full,Full
40746,174.98,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
26554,175.99,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41869,177.08,No 🔴,n/a,n/a,n/a,n/a
47613,178.43,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
40882,179.6,No 🔴,n/a,n/a,n/a,n/a
37834,180.0,Yes 🟢,Due Diligence (U),Yes,Full,n/a
