NORAD ID,Longitude,Compliance Grade
26052,179.87,F
26056,-92.82,F
26058,29.74,F
26071,-89.15,F
26089,-177.08,F
26095,22.18,F
26098,-171.88,F
26107,105.08,F
26108,-81.43,F
26243,9.65,F
26298,27.42,F
26352,2.96,F
26356,-165.46,F
26369,48.17,F
26372,177.78,F
26382,-146.34,F
26388,89.37,F
26394,78.33,F
26402,-177.07,A
26451,-49.88,F
26469,-91.86,F
26470,128.75,F
26477,80.39,F
26487,68.8,F
26494,19.46,F
26495,-92.21,F
26554,175.99,A
26559,152.68,F
26575,134.41,F
26580,-138.98,A
26590,64.17,F
26599,-73.75,F
26608,157.1,F
26624,-107.3,A
26638,57.21,F
26639,-135.0,A
26643,107.01,F
26666,30.87,F
26695,-93.52,F
26715,175.82,F
26719,-132.84,F
26720,-154.93,F
26724,-7.77,F
26761,-174.91,F
26766,47.4,F
26824,-27.5,A
26853,23.65,F
26863,18.75,F
26871,94.9,F
26880,-49.6,F
26892,84.28,F
26900,-50.06,A
26927,172.07,A
26985,-176.39,F
27168,18.94,A
27298,15.77,F
27378,-118.79,F
27380,-29.47,A
27389,-61.75,F
27399,143.8,A
27400,-86.56,A
27403,-90.13,F
27414,-20.02,A
27426,-110.08,B
27438,-24.48,A
27441,-27.33,F
27445,-95.06,A
27460,-4.98,A
27461,106.26,F
27499,-3.49,F
27501,53.32,F
27508,-172.64,F
27509,41.36,F
27513,64.1,A
27516,-72.81,F
27525,-156.53,F
27528,-142.92,F
27540,114.33,F
27554,17.65,F
27566,-171.46,F
27603,-169.5,A
27632,-91.0,A
27683,154.42,F
27691,-130.07,A
27711,151.77,F
27714,72.73,F
27715,-129.0,A
27718,38.09,D
27807,85.5,D
27811,-95.16,F
27813,-129.09,F
27820,97.96,F
27825,44.05,A
27830,75.2,F
27831,155.71,F
27852,-92.02,F
27854,-120.98,A
27875,-42.31,F
27948,10.26,F
27951,73.59,F
27954,-127.0,A
28082,94.77,F
28089,163.47,A
28094,82.33,F
28117,75.51,F
28132,1.62,F
28134,-2.66,F
28137,-116.13,A
28154,-94.35,F
28158,87.5,D
28184,60.92,F
28187,-59.05,F
28194,16.51,F
28238,-119.08,B
28252,-130.99,A
28358,0.98,F
28364,147.69,F
28378,-111.05,A
28393,168.09,F
28417,-162.65,F
28446,-105.03,A
28451,-33.73,F
28463,34.94,A
28472,-84.96,A
28526,-37.41,A
28542,28.98,A
28622,94.19,F
28626,-85.12,A
28628,143.42,A
28629,-30.45,F
28638,-14.53,D
28644,-107.45,F
28659,-119.03,B
28702,-88.95,A
28707,61.69,F
28786,119.48,A
28790,-124.98,A
28868,-107.28,A
28884,-133.0,A
28885,46.95,A
28899,63.9,A
28902,156.98,D
28903,-138.9,F
28911,-169.77,F
28912,3.23,F
28924,173.98,D
28935,-110.17,B
28937,-119.43,F
28945,-29.96,A
28946,12.98,A
29045,132.05,A
29055,19.15,A
29155,61.33,F
29162,-112.99,D
29163,-35.13,F
29236,-98.97,A
29270,13.01,A
29272,127.97,A
29273,-5.2,F
29349,113.03,A
29398,68.48,F
29494,-101.17,B
29495,159.99,A
29520,-115.29,D
29526,25.97,A
29640,-125.2,F
29643,-111.17,F
29644,-82.96,A
29648,91.5,A
29656,-70.27,F
30793,85.42,D
30794,95.16,F
31102,-118.67,A
31306,19.18,A
31307,-90.96,A
31395,88.35,F
31577,140.82,F
31800,115.47,A
31862,-102.79,A
32018,-94.96,A
32019,109.8,A
32050,-99.01,F
32252,151.98,A
32253,-42.97,A
32258,5.96,F
32293,-64.97,A
32294,25.04,A
32299,4.81,F
32373,68.72,F
32387,-66.53,F
32388,84.82,F
32404,98.44,A
32478,96.49,A
32487,0.75,F
32500,-5.03,F
32708,17.25,F
32729,-99.16,A
32763,-92.8,F
32767,131.93,A
32768,-69.99,A
32779,79.84,F
32794,-4.12,F
32951,-122.96,A
33051,92.16,A
33055,-17.83,A
33056,41.99,A
33108,71.01,F
33153,-31.5,A
33154,26.04,A
33207,-109.95,B
33274,143.94,A
33275,-124.88,D
33278,-97.97,A
33373,-81.98,A
33376,-96.96,A
33414,-55.86,F
33436,19.2,A
33453,-128.83,F
33459,13.0,A
33460,48.08,A
33463,86.97,F
33595,-11.0,A
33596,12.64,F
33749,-176.93,A
33750,33.06,A
34111,-37.55,F
34264,-116.45,F
34710,9.97,A
34713,56.81,F
34779,19.58,F
34941,108.24,A
35362,91.45,A
35491,-104.11,F
35493,-86.15,A
35496,-110.96,F
35696,100.5,A
35755,168.88,F
35756,155.97,A
35812,112.92,A
35873,-72.68,F
35942,-60.97,D
35943,62.97,A
36032,56.97,A
36033,0.83,F
36097,-44.97,A
36101,35.85,F
36106,85.11,F
36108,-11.99,A
36131,-102.71,A
36287,140.44,A
36358,84.96,A
36397,-76.16,F
36411,-128.26,F
36499,-118.86,F
36516,-100.97,A
36581,23.47,A
36582,13.26,F
36590,79.66,A
36592,25.98,A
36744,128.17,A
36745,30.49,A
36792,-61.63,F
36830,-6.98,A
36831,2.87,B
36868,4.07,A
37150,125.1,A
37185,-85.24,A
37207,109.8,A
37210,160.03,A
37218,-101.27,B
37234,126.42,F
37237,117.41,D
37238,65.96,A
37258,9.05,A
37264,-30.0,A
37265,115.99,A
37344,-13.2,F
37392,32.77,F
37393,52.46,A
37481,66.18,F
37602,-62.97,F
37605,55.0,A
37606,87.99,A
37677,110.53,A
37737,171.18,F
37746,83.09,A
37748,-102.97,A
37749,86.52,A
37775,19.24,A
37776,109.96,A
37779,38.0,A
37804,129.8,F
37806,-17.02,F
37809,-86.96,A
37810,19.96,A
37816,-7.33,F
37826,-76.96,B
37834,179.99,A
37836,15.97,A
37843,-115.09,A
37933,105.48,A
37950,47.6,F
37951,166.99,A
38014,42.51,A
38049,112.18,F
38070,88.38,F
38087,-22.0,A
38091,58.7,A
38098,72.07,A
38101,-26.32,F
38107,76.47,A
38245,47.57,A
38254,-67.59,F
38331,124.0,A
38332,131.82,A
38342,-91.09,A
38352,98.22,A
38356,165.99,A
38551,-107.08,F
38552,9.53,B
38652,4.96,A
38730,20.44,A
38740,68.48,A
38741,31.01,A
38749,-57.97,A
38778,28.15,A
38779,82.97,A
38867,-52.96,A
38953,83.96,A
38977,-16.45,F
38978,-177.05,A
38991,-75.04,A
38992,21.57,A
39008,-61.47,B
39017,87.45,A
39020,70.45,A
39022,54.88,F
39034,52.73,F
39035,-114.77,F
39070,-174.39,F
39078,-60.97,D
39079,46.0,D
39120,20.61,A
39122,-116.76,F
39127,-107.27,A
39157,98.01,A
39163,7.03,A
39168,-52.48,A
39172,-40.48,A
39215,24.81,D
39216,82.04,A
39222,-135.19,F
39233,25.48,A
39234,73.91,A
39237,64.98,A
39256,111.0,A
39285,28.47,F
39360,-116.18,A
39375,35.02,A
39460,94.97,A
39476,62.59,F
39481,-87.15,A
39487,140.03,A
39498,73.95,A
39500,78.52,A
39504,-41.1,B
39508,74.9,F
39509,37.8,F
39522,41.95,A
39612,56.02,B
39613,139.85,F
39616,-73.92,D
39617,31.47,A
39727,94.69,F
39728,58.48,A
39773,3.08,A
40099,8.84,F
40100,168.55,F
40107,-3.89,F
40141,119.9,F
40146,156.01,A
40147,91.44,A
40258,-3.04,A
40267,140.61,A
40269,83.04,A
40271,-95.09,A
40272,-71.78,F
40277,53.01,A
40332,55.09,A
40333,-99.25,A
40345,89.96,A
40364,28.21,A
40367,99.77,F
40384,-54.99,A
40424,-2.96,F
40425,-114.91,F
40505,40.0,A
40613,0.67,F
40617,52.02,A
40663,-102.88,A
40664,-78.74,F
40732,0.42,A
40733,-69.97,A
40746,175.01,A
40874,-55.5,A
40875,-8.01,A
40880,82.43,D
40882,179.54,F
40887,74.87,F
40892,154.95,A
40895,-14.01,A
40940,140.22,F
40941,-80.96,A
40946,-113.16,F
40982,142.03,A
40984,49.94,A
41021,103.41,F
41028,93.48,A
41029,25.93,A
41034,128.47,A
41036,-15.0,F
41103,81.65,F
41105,-14.52,B
41121,80.22,F
41191,36.06,B
41194,105.66,A
41238,51.47,B
41308,9.57,F
41310,9.01,A
41380,108.29,A
41382,-65.17,F
41384,32.79,F
41469,129.46,A
41471,153.98,A
41552,78.5,A
41581,-95.05,A
41586,110.51,A
41588,74.73,F
41589,-117.02,D
41591,150.48,A
41592,-61.32,F
41725,101.35,A
41729,127.92,A
41744,59.71,F
41745,124.34,F
41747,68.5,A
41748,59.97,A
41752,73.84,F
41793,73.98,A
41794,144.77,F
41836,140.77,A
41838,117.55,F
41866,-75.2,F
41869,176.67,F
41879,149.81,F
41882,104.7,F
41893,-97.07,A
41903,110.04,A
41904,-83.98,A
41911,107.41,A
41937,-159.33,A
41942,-36.0,A
41944,117.98,A
41945,-43.19,F
42070,-67.88,F
42075,56.69,F
42432,-66.89,F
42662,110.45,A
42691,115.88,F
42692,-74.82,F
42695,97.37,A
42698,56.49,A
42709,-129.16,F
42740,-69.89,F
42741,172.0,A
42747,47.87,F
42749,10.33,F
42763,101.43,A
42801,1.89,A
42814,39.01,A
42815,93.43,A
42818,-34.51,A
42907,44.98,A
42915,-11.38,F
42917,126.98,A
