NORAD ID,Longitude,Compliance Grade
39078,-61.03,D
35942,-61.05,D
41592,-61.38,F
39008,-61.52,B
37602,-63.02,F
43562,-63.04,F
32768,-65.01,A
41382,-65.21,F
42432,-66.92,A
49332,-67.09,A
43651,-67.73,F
42740,-69.9,F
40733,-70.02,B
49055,-70.11,F
40272,-71.81,F
35873,-72.71,F
32388,-73.81,F
39616,-74.03,D
42692,-74.87,F
38991,-75.02,A
41866,-75.19,F
36397,-76.22,F
37826,-77.01,B
40664,-78.78,F
55138,-79.99,F
40941,-81.02,B
33373,-82.02,A
29644,-83.0,B
41904,-84.0,A
31307,-85.01,B
48838,-85.25,B
35493,-86.12,A
37809,-87.03,B
39481,-87.23,A
56370,-88.89,F
28702,-88.99,A
54742,-89.03,B
54244,-91.01,B
56174,-91.02,B
22988,-91.08,B
38342,-91.13,B
32763,-92.82,F
54741,-93.1,B
38254,-94.24,B
27445,-94.84,F
32018,-94.94,A
41581,-95.04,A
40271,-95.06,B
41937,-96.82,B
33376,-97.02,B
41893,-97.1,B
33278,-97.97,A
29236,-99.02,A
32729,-99.2,B
40333,-99.23,B
25258,-99.39,F
49115,-99.5,D
38093,-100.67,F
44333,-100.86,B
36516,-101.02,A
29494,-101.22,B
37218,-101.3,B
36395,-102.6,F
36131,-102.72,B
31862,-102.8,B
40663,-102.85,B
55970,-103.1,B
53960,-103.12,F
41622,-103.26,F
43226,-104.73,F
42967,-104.98,A
28446,-105.07,A
38551,-107.12,F
39127,-107.32,A
28868,-107.33,A
42070,-109.91,B
33207,-110.01,B
28935,-110.19,B
35496,-111.02,F
28252,-111.09,B
28378,-111.13,B
29643,-111.19,F
49817,-111.65,F
29162,-112.98,D
40946,-113.03,A
39035,-114.84,A
40425,-114.88,F
37843,-115.12,F
39360,-116.13,B
39122,-116.83,F
41589,-116.99,D
31102,-118.73,A
36499,-118.91,B
28659,-119.05,B
23712,-120.29,F
27854,-120.98,A
54243,-120.99,B
55263,-121.91,B
32951,-123.01,A
26715,-124.6,F
33275,-124.93,A
46114,-125.01,B
27954,-127.0,A
33453,-128.86,F
54027,-128.98,B
42709,-129.15,F
27691,-130.16,F
53961,-130.91,B
54026,-133.01,B
55971,-134.93,B
52933,-135.02,B
39222,-135.19,F
51850,-137.01,B
26580,-139.0,B
53355,-144.85,F
39256,-154.79,F
56371,-162.96,D
39070,-174.37,F
39206,-176.74,F
33749,-176.93,A
38978,-177.04,A
37834,-180.0,A
