New Name,Old Name
EGY-N-SAT,EGYCOMM16A
ELCOR 2,AGRANI-1
ELSA-D,ADRAS-1
ENDEAVOUR-1,ENDEAVOUR
ENVISAT,ENVISAT-1
ESHAILSAT-26E-2,ARABSAT-AXB26E_KU
ESSELSAT-1,AGRANI-3
EUROPESTAR-45E,EUROPE*STAR-45E
EUROPESTAR-47.5E,EUROPE*STAR-47.5E
EUROSAT-15E,EUROSAT-12E
EUTELSAT 1-8,EUTELSAT 1-6
EUTELSAT 2-4E,EUTELSAT 2-31E
EUTELSAT 3-25.5E,EUTELSAT 3-14.8W
FALAK-1,ASTROCAST-1
FASAT-BRAVO,FASAT-ALFA
F-MILSATCOM-45E,F-MILSATCOM-49E
F-SAT 21 KU,GEOSAT KU 3W
F-SATDAB-1A,3GSAT-G16
F-SATDAB-4,3GSAT-G3
F-SATDAB-5B,3GSAT-G18
F-SAT-E-133.5E,F-SAT-E-DRS-130E
F-SAT-E-137E,F-SAT-E-DRS-136E
F-SAT-E-155.9E,F-SAT-E-DRS-154E
F-SAT-E-163.5E,F-SAT-E-DRS-160E
F-SAT-E-164.1E,F-SAT-E-DRS-166E
F-SAT-E-170.5E,F-SAT-E-DRS-172E
F-SAT-E-58.45E,F-SAT-E-DRS-60E
F-SAT-E-DRS-3E,F-SAT-E-DRS-4E
F-SAT-E-DRS-9E,F-SAT-E-DRS-10E
F-SAT-KB1-E-7W,F-SAT-KB1-E-5W
F-SAT-KU-E-1.6E,F-SAT-KU-E-1E
F-SATMULTI-1,RSNG-A
F-SATMULTI-1,RSNG-B
F-SAT-N4-113W,F-SAT-N4-115W
F-SAT-N4-116.9W,F-SAT-N4-111W
F-SAT-N4-133W,F-SAT-N4-129W
F-SAT-N4-139W,F-SAT-N4-142W
F-SAT-N-7W,F-SAT-N-6W
F-SAT-S-E-3E,F-SAT-S-E-4E
FUTURA-1,EMARSAT-13Y
FUTURA-3,EMARSAT-13A
GC-4-105.6E,GC-4-106.5E
GEOSAT C 16W,F-SAT 20 C
