New Name,Old Name
VIDEOSAT-6-KU-A,VIDEOSAT-6-KA
VIDEOSAT-8-C-A,TELECOM-3C
VIDEOSAT-8-KA-A,VIDEOSAT-8
VIDEOSAT-8-KU-A,VIDEOSAT-8
VIDEOSAT-8-KU-B,TELECOM-2C
VIDEOSAT-8-KU-C,VIDEOSAT-8
VIDEOSAT-8-KU-D,VIDEOSAT-8
VIDEOSAT-9-C,GEOSAT C 1W
VNSAT-112.5E,VNSAT-110E
YAHSAT-57E,YAHSAT-58E
YAHSAT-EHF-33E,YAHSAT-EHF-30E
YAHSAT-EHF-50.5E,YAHSAT-EHF-50E
YAHSAT-G5-28W,YAHSAT-G5-25W
YAHSAT-G5-43W,YAHSAT-G5-40W
YAHSAT-G5-66E,YAHSAT-G5-65E
YAHSAT-G6-17.5W,YAHSAT-G6-15W
YAHSAT-KA1-52.5E,YAHSAT-KA-57E
YAHSAT-KA-17.5W,YAHSAT-KA-15W
YAHSAT-KA-33E,YAHSAT-KA-30E
YAHSAT-KA-47.5E,YAHSAT-KA-52.5E
YAHSAT-KA-50.5E,YAHSAT-KA-46E
YAHSAT-N-25.5E,YAHSAT-N-25E
YAHSAT-N-33W,YAHSAT-N-30W
YAHSAT-N-45W,YAHSAT-N-40W
YAHSAT-N-46E,YAHSAT-N-45E
YAHSAT-N-8E,YAHSAT-N-5E
