Network Name,Longitude,ITU Administration,Previous Name,Planned or Non-Planned,Highest Maturity,Brought-into-Use Date,Late-Stage Filing Date,Early-Stage Filing Date,Suspensions,Link
EUROPESTAR-47.5E,47.5,D ,EUROPE*STAR-47.5E,Non-Planned,N,2012-11-01,2012-12-19,2012-12-19,"[['P', '2021-03-01', 'n/a']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUROPESTAR-47.5E&sel_satname=EUROPESTAR-47.5E&plan_id=
F-SAT-N-E-48E,48.0,F ,n/a,Non-Planned,N,2016-02-15,2016-05-26,2009-05-28,"[['T', '2021-01-21', '2021-08-13']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N-E-48E&sel_satname=F-SAT-N-E-48E&plan_id=
INSAT-KA48E,48.0,IND ,n/a,Non-Planned,N,2018-03-15,2020-04-04,2013-05-09,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-KA48E&sel_satname=INSAT-KA48E&plan_id=
F-SAT-N7-48E,48.0,F ,n/a,Non-Planned,C,n/a,n/a,2019-05-13,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=F-SAT-N7-48E&sel_satname=F-SAT-N7-48E&plan_id=
INSAT-L-MSS(48E),48.0,IND ,n/a,Non-Planned,C,n/a,n/a,2018-09-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-L-MSS(48E)&sel_satname=INSAT-L-MSS(48E)&plan_id=
F-SAT-N3-48E,48.0,F ,n/a,Non-Planned,N,2018-01-01,2018-11-27,2013-05-31,"[['P', '2021-01-21', '2021-08-13']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N3-48E&sel_satname=F-SAT-N3-48E&plan_id=
INSAT-KU17(48E),48.0,IND ,n/a,Non-Planned,C,2020-04-27,2022-04-05,2017-07-06,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KU17(48E)&sel_satname=INSAT-KU17(48E)&plan_id=
INSAT-EHFL-48E,48.0,IND ,n/a,Non-Planned,C,n/a,n/a,2017-01-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-EHFL-48E&sel_satname=INSAT-EHFL-48E&plan_id=
F-SAT-N5-48E,48.0,F ,n/a,Non-Planned,N,2022-01-01,2021-08-02,2015-05-22,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-N5-48E&sel_satname=F-SAT-N5-48E&plan_id=
INSAT-EK48R,48.0,IND ,n/a,Non-Planned,N,2003-06-09,2005-04-04,1995-10-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-EK48R&sel_satname=INSAT-EK48R&plan_id=
INSAT-EK48,48.0,IND ,n/a,Non-Planned,N,2003-06-09,1996-11-11,1995-10-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-EK48&sel_satname=INSAT-EK48&plan_id=
INSAT-2T (48),48.0,IND ,n/a,Non-Planned,N,2002-04-10,1994-06-10,1993-09-21,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-2T+(48)&sel_satname=INSAT-2T+(48)&plan_id=
INSAT-2M (48),48.0,IND ,n/a,Non-Planned,N,2002-04-10,1994-06-15,1993-09-21,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-2M+(48)&sel_satname=INSAT-2M+(48)&plan_id=
EUTELSAT EXB-48E,48.0,F / EUT,n/a,Planned,N,2004-09-16,2005-03-17,2001-06-29,"[['T', '2021-01-21', '2021-08-13']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=EUTELSAT+EXB-48E&sel_satname=EUTELSAT+EXB-48E&plan_id=plan
INSAT-KUP-FSS(48E),48.0,IND ,n/a,Planned,P,n/a,n/a,2015-03-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=INSAT-KUP-FSS(48E)&sel_satname=INSAT-KUP-FSS(48E)&plan_id=plan
F-SAT-30B-48E,48.0,F ,n/a,Planned,P,n/a,n/a,2017-02-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-30B-48E&sel_satname=F-SAT-30B-48E&plan_id=plan
F-SAT-E-30B-48.2E,48.0,F ,n/a,Planned,N,2014-03-01,2019-04-10,2011-04-29,"[['T', '2021-01-21', '2021-08-13']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=F-SAT-E-30B-48.2E&sel_satname=F-SAT-E-30B-48.2E&plan_id=plan
INSAT-EXC(48E),48.0,IND ,n/a,Planned,N,2021-03-15,2021-03-31,2013-04-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-EXC(48E)&sel_satname=INSAT-EXC(48E)&plan_id=plan
F-SAT-P-30B-48E-F,48.0,F ,n/a,Planned,P,n/a,n/a,2021-05-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=F-SAT-P-30B-48E-F&sel_satname=F-SAT-P-30B-48E-F&plan_id=plan
INSAT-2(48),48.0,IND ,n/a,Non-Planned,N,2001-05-14,1994-03-11,1993-04-14,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=INSAT-2(48)&sel_satname=INSAT-2(48)&plan_id=
INSAT-KA48ER,48.0,IND ,n/a,Non-Planned,C,n/a,n/a,2021-02-26,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA48ER&sel_satname=INSAT-KA48ER&plan_id=
ASIASAT-48.2Q,48.2,CHN ,n/a,Non-Planned,C,n/a,n/a,2018-10-11,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=ASIASAT-48.2Q&sel_satname=ASIASAT-48.2Q&plan_id=
USMB-8,49.0,USA ,n/a,Non-Planned,N,1993-01-01,1997-10-01,1996-12-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-8&sel_satname=USMB-8&plan_id=
USMB-8A,49.0,USA ,n/a,Non-Planned,N,2019-07-09,2019-10-22,2012-11-06,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=USMB-8A&sel_satname=USMB-8A&plan_id=
YAMAL-49E,49.0,RUS ,n/a,Non-Planned,N,2012-11-03,2012-12-04,2008-06-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=YAMAL-49E&sel_satname=YAMAL-49E&plan_id=
ROSCOM-4,49.0,RUS ,n/a,Non-Planned,N,2003-05-12,1994-08-23,1994-02-23,"[['T', '2003-11-15', '2003-12-31']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=ROSCOM-4&sel_satname=ROSCOM-4&plan_id=
YAMAL-KA1M,49.0,RUS ,n/a,Non-Planned,N,2019-06-25,2018-02-02,2013-10-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=YAMAL-KA1M&sel_satname=YAMAL-KA1M&plan_id=
STATSIONAR-24,49.0,RUS ,n/a,Non-Planned,N,1992-12-20,1988-09-02,1986-06-12,"[['T', '2003-11-15', '2003-12-31']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=STATSIONAR-24&sel_satname=STATSIONAR-24&plan_id=
VOLNA-25,49.0,RUS ,n/a,Non-Planned,N,1992-06-01,1989-02-23,1987-07-09,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=VOLNA-25&sel_satname=VOLNA-25&plan_id=
GALS-13,49.0,RUS ,n/a,Non-Planned,N,1992-06-01,1987-05-05,1986-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=GALS-13&sel_satname=GALS-13&plan_id=
TOR-16M,49.0,RUS ,n/a,Non-Planned,N,2006-09-22,2005-11-17,1997-01-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=TOR-16M&sel_satname=TOR-16M&plan_id=
AFG00000,50.0,AFG ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=AFG00000&sel_satname=AFG00000&plan_id=plan
